did,len,elen,url
"0","128","9","27037803"
"1","247","33","27083247"
"2","135","22","27067309"
"3","83","0","27062253"
"4","10","1","27117697"
"5","140","20","27118996"
"6","155","22","27003418"
"7","12","4","27006330"
"8","162","0","27005690"
"9","3","0","27002650"
"10","187","9","27095971"
"11","132","31","27019979"
"12","146","21","27020244"
"13","105","8","27000951"
"14","140","18","27008368"
"15","175","20","27030512"
"16","145","9","27025815"
"17","199","5","27029956"
"18","162","14","27071189"
"19","185","23","27008524"
"20","223","9","27079697"
"21","93","10","27076250"
"22","170","1","27080376"
"23","164","28","27086975"
"24","244","11","27067168"
"25","203","15","27038190"
"26","47","11","27010104"
"27","60","14","27101546"
"28","204","11","27062301"
"29","168","21","27037936"
"30","166","10","27053136"
"31","58","9","27028539"
"32","6","0","27105223"
"33","172","12","27043927"
"34","147","1","27058544"
"35","2","0","27164992"
"36","146","1","27014948"
"37","214","7","27112415"
"38","19","2","27112037"
"39","260","27","27111487"
"40","43","1","27015488"
"41","206","7","27015336"
"42","128","19","27013844"
"43","104","9","27111397"
"44","200","6","27087698"
"45","185","31","27015549"
"46","223","1","27014477"
"47","138","14","27056656"
"48","280","36","27073179"
"49","65","6","27014921"
"50","153","2","27011811"
"51","6","2","27051771"
"52","10","0","27036859"
"53","146","0","27045194"
"54","123","3","27077079"
"55","171","12","27027241"
"56","51","5","27079849"
"57","136","10","27077568"
"58","6","0","27041132"
"59","121","11","27039895"
"60","19","0","27084078"
"61","9","0","27014365"
"62","173","0","27014083"
"63","268","24","27065706"
"64","16","2","27005265"
"65","208","26","27093470"
"66","154","15","27013076"
"67","200","3","27003266"
"68","175","8","27005614"
"69","204","19","27052743"
"70","223","18","27049663"
"71","139","23","27082228"
"72","156","9","27045727"
"73","189","12","27075942"
"74","114","0","27051425"
"75","128","3","27076861"
"76","149","33","27037022"
"77","153","27","27077460"
"78","194","12","27041544"
"79","11","0","27005448"
"80","229","10","27076213"
"81","216","13","27003321"
"82","171","1","27081664"
"83","82","9","27075114"
"84","87","0","27103894"
"85","239","1","27055037"
"86","153","20","27051389"
"87","107","13","27100483"
"88","235","8","27006343"
"89","186","31","27096629"
"90","223","6","27042950"
"91","187","16","27111023"
"92","190","2","27111011"
"93","193","6","27111004"
"94","143","8","27009807"
"95","75","14","27110913"
"96","134","1","27015741"
"97","143","1","27005396"
"98","132","21","27057191"
"99","164","1","27065477"
"100","139","6","27087935"
"101","215","15","27012785"
"102","143","3","27013256"
"103","213","16","27012625"
"104","230","23","27015005"
"105","154","1","27069649"
"106","8","0","27002874"
"107","160","6","27003801"
"108","136","21","27076848"
"109","9","1","27008553"
"110","166","7","27008682"
"111","146","15","27002326"
"112","212","26","27099330"
"113","14","0","27101919"
"114","85","0","27104711"
"115","104","11","27019312"
"116","8","0","27098000"
"117","73","7","27103980"
"118","116","13","27006413"
"119","250","46","27000083"
"120","194","6","27006046"
"121","205","12","27114104"
"122","104","9","27008708"
"123","164","9","27118718"
"124","200","12","27008088"
"125","190","17","27114962"
"126","145","8","27110811"
"127","112","6","27110603"
"128","106","8","27110562"
"129","215","22","27110374"
"130","90","11","27164945"
"131","174","22","27107312"
"132","178","23","27084261"
"133","124","26","27076087"
"134","239","9","27027499"
"135","156","5","27028731"
"136","64","23","27081571"
"137","19","1","27024581"
"138","201","21","27042272"
"139","145","21","27051450"
"140","91","6","27022388"
"141","203","2","27025568"
"142","4","0","27033481"
"143","117","0","27105325"
"144","96","2","27067236"
"145","71","1","27054154"
"146","135","6","27157752"
"147","10","0","27158298"
"148","130","15","27075261"
"149","319","53","27165126"
"150","118","32","27051544"
"151","9","1","27039158"
"152","198","15","27093686"
"153","202","1","27085396"
"154","130","23","27045536"
"155","252","9","27028128"
"156","140","5","27079461"
"157","173","23","27109747"
"158","93","12","27109068"
"159","189","24","27108660"
"160","8","1","27108458"
"161","176","20","27016446"
"162","170","0","27141148"
"163","210","9","27148338"
"164","184","13","27167557"
"165","105","28","27166432"
"166","191","35","27129233"
"167","5","1","27126844"
"168","154","2","27047316"
"169","5","1","27061675"
"170","159","12","27029776"
"171","224","11","27010569"
"172","240","44","27010902"
"173","218","14","27107962"
"174","127","27","27107075"
"175","127","21","27106742"
"176","169","36","27106740"
"177","183","11","27042428"
"178","191","6","27168551"
"179","185","2","27087478"
"180","133","2","27088868"
"181","245","25","27080297"
"182","70","0","27128059"
"183","222","24","27126126"
"184","98","17","27127920"
"185","19","4","27024657"
"186","14","2","27024145"
"187","112","15","27159196"
"188","163","20","27159636"
"189","217","1","27064171"
"190","116","2","27035394"
"191","203","23","27036311"
"192","112","0","27015514"
"193","217","1","27014480"
"194","198","30","27104764"
"195","108","16","27168244"
"196","76","4","27166452"
"197","239","42","27019545"
"198","229","24","27105538"
"199","176","21","27008334"
"200","207","31","27004401"
"201","8","1","27002138"
"202","184","12","27000456"
"203","135","5","27005520"
"204","3","0","27006648"
"205","77","3","27006601"
"206","216","11","27140176"
"207","164","32","27113200"
"208","144","15","27136701"
"209","235","23","27054681"
"210","195","3","27096088"
"211","12","1","27100733"
"212","111","9","27033164"
"213","27","0","27165374"
"214","178","10","27165004"
"215","158","10","27167300"
"216","6","1","27075702"
"217","197","11","27083954"
"218","77","11","27093481"
"219","234","38","27015401"
"220","165","19","27013822"
"221","235","7","27012911"
"222","254","9","27012523"
"223","167","17","27086072"
"224","114","12","27086930"
"225","209","19","27060636"
"226","10","0","27073957"
"227","193","17","27035255"
"228","226","38","27061538"
"229","155","1","27068923"
"230","127","13","27025031"
"231","110","12","27024980"
"232","197","0","27110383"
"233","318","6","27011923"
"234","230","28","27039127"
"235","197","4","27167027"
"236","142","13","27164831"
"237","200","12","27167138"
"238","193","9","27033358"
"239","139","1","27044645"
"240","110","3","27092640"
"241","8","0","27092384"
"242","127","24","27117887"
"243","168","9","27099609"
"244","9","2","27064382"
"245","77","0","27059558"
"246","166","8","27056904"
"247","154","19","27059957"
"248","147","16","27091307"
"249","187","4","27051367"
"250","220","13","27038061"
"251","109","1","27023721"
"252","100","6","27043717"
"253","168","15","27017166"
"254","21","4","27069073"
"255","174","9","27051203"
"256","153","36","27044027"
"257","189","36","27130232"
"258","219","17","27129420"
"259","206","16","27129917"
"260","139","4","27100851"
"261","89","0","27025636"
"262","112","15","27036939"
"263","6","0","27006010"
"264","212","31","27004526"
"265","179","6","27007952"
"266","194","6","27004887"
"267","13","0","27005055"
"268","167","17","27000525"
"269","204","8","27003658"
"270","6","0","27024441"
"271","176","32","27106737"
"272","144","7","27106541"
"273","188","10","27106273"
"274","167","7","27106050"
"275","174","17","27030598"
"276","151","22","27040985"
"277","98","0","27135537"
"278","9","1","27136604"
"279","192","4","27105018"
"280","192","15","27042423"
"281","117","12","27061843"
"282","107","9","27027065"
"283","184","23","27106045"
"284","133","1","27105856"
"285","219","42","27105172"
"286","7","3","27103693"
"287","62","2","27086786"
"288","190","0","27094442"
"289","164","0","27055658"
"290","256","3","27082742"
"291","169","2","27045096"
"292","230","27","27081787"
"293","173","32","27040154"
"294","204","22","27096721"
"295","204","47","27079867"
"296","249","28","27102275"
"297","214","5","27072837"
"298","238","21","27012476"
"299","8","1","27013209"
"300","170","1","27015103"
"301","87","0","27002492"
"302","203","17","27011745"
"303","150","22","27090360"
"304","173","1","27028074"
"305","253","0","27026120"
"306","145","7","27048165"
"307","147","16","27009370"
"308","184","14","27091339"
"309","130","0","27064930"
"310","239","3","27082965"
"311","201","12","27014794"
"312","249","44","27015205"
"313","6","2","27024518"
"314","104","8","27163711"
"315","206","11","27163364"
"316","14","3","27063103"
"317","378","23","27163732"
"318","327","59","27163986"
"319","2","0","27095374"
"320","178","1","27097052"
"321","167","1","27069801"
"322","204","6","27077497"
"323","174","12","27083907"
"324","6","0","27097260"
"325","100","22","27112161"
"326","202","36","27032075"
"327","8","0","27000520"
"328","8","0","27003017"
"329","13","0","27008150"
"330","129","0","27000640"
"331","9","0","27024587"
"332","218","26","27080243"
"333","175","20","27059958"
"334","155","14","27164908"
"335","119","12","27168003"
"336","159","20","27035219"
"337","142","6","27034854"
"338","195","9","27167532"
"339","180","9","27166858"
"340","64","13","27114046"
"341","112","11","27066173"
"342","132","11","27066379"
"343","167","20","27052432"
"344","202","28","27035124"
"345","185","24","27027935"
"346","11","1","27025007"
"347","89","3","27025502"
"348","147","23","27026059"
"349","7","1","27023969"
"350","138","8","27008176"
"351","3","1","27000442"
"352","163","1","27004589"
"353","3","0","27003543"
"354","248","27","27133205"
"355","147","18","27135638"
"356","169","7","27087039"
"357","169","7","27146696"
"358","186","11","27096365"
"359","222","29","27146390"
"360","153","24","27128169"
"361","129","12","27091426"
"362","6","0","27127917"
"363","199","10","27127339"
"364","80","6","27114661"
"365","176","36","27118869"
"366","270","12","27113736"
