kid,value,idf
"0","534","1"
"0","360","2"
"1","91","1"
"2","183","3"
"3","240","1"
"4","121","2"
"5","368","1"
"5","225","1"
"5","609","5"
"5","390","2"
"5","366","4"
"5","223","1"
"6","336","2"
"6","292","1"
"6","38","1"
"6","361","5"
"6","601","6"
"6","619","1"
"6","415","1"
"6","607","1"
"7","304","1"
"8","539","1"
"9","149","2"
"10","290","1"
"10","68","1"
"10","40","3"
"10","457","1"
"10","458","1"
"10","586","1"
"10","588","1"
"10","592","1"
"10","434","4"
"10","245","2"
"10","535","1"
"10","413","3"
"10","30","1"
"10","447","4"
"10","607","1"
"11","48","1"
"12","564","1"
"13","199","4"
"14","77","1"
"15","107","1"
"16","150","1"
"16","605","9"
"17","65","1"
"17","248","1"
"17","623","1"
"18","248","9"
"19","65","2"
"19","225","1"
"19","131","2"
"19","259","3"
"19","420","4"
"19","551","1"
"19","8","2"
"19","296","10"
"19","41","1"
"19","170","1"
"19","77","1"
"19","461","7"
"19","78","2"
"19","462","1"
"19","240","1"
"19","433","1"
"19","20","1"
"19","502","1"
"19","281","1"
"19","63","1"
"19","415","1"
"20","262","1"
"21","0","1"
"21","257","3"
"21","258","1"
"21","515","2"
"21","516","8"
"21","5","2"
"21","522","2"
"21","11","1"
"21","13","3"
"21","269","1"
"21","16","2"
"21","19","8"
"21","276","1"
"21","535","1"
"21","24","1"
"21","281","1"
"21","27","1"
"21","540","2"
"21","30","1"
"21","543","2"
"21","288","1"
"21","546","1"
"21","293","1"
"21","294","1"
"21","551","1"
"21","43","1"
"21","555","1"
"21","556","1"
"21","305","11"
"21","563","2"
"21","54","1"
"21","566","4"
"21","311","2"
"21","312","2"
"21","59","4"
"21","572","3"
"21","317","1"
"21","318","8"
"21","63","1"
"21","577","3"
"21","578","4"
"21","67","1"
"21","323","2"
"21","324","1"
"21","69","7"
"21","581","2"
"21","326","2"
"21","582","2"
"21","72","1"
"21","584","1"
"21","588","1"
"21","333","5"
"21","78","1"
"21","591","1"
"21","80","2"
"21","336","1"
"21","81","1"
"21","84","2"
"21","85","2"
"21","598","1"
"21","88","1"
"21","89","5"
"21","601","1"
"21","91","1"
"21","347","1"
"21","605","2"
"21","607","2"
"21","354","6"
"21","610","1"
"21","355","1"
"21","612","1"
"21","358","1"
"21","103","1"
"21","360","3"
"21","363","5"
"21","111","2"
"21","369","3"
"21","371","3"
"21","629","5"
"21","632","2"
"21","377","2"
"21","381","2"
"21","383","1"
"21","639","1"
"21","128","1"
"21","384","2"
"21","129","9"
"21","133","2"
"21","136","2"
"21","394","1"
"21","139","1"
"21","395","1"
"21","396","1"
"21","400","1"
"21","145","1"
"21","401","2"
"21","146","1"
"21","149","1"
"21","405","4"
"21","406","2"
"21","153","1"
"21","413","4"
"21","159","2"
"21","162","1"
"21","166","1"
"21","422","5"
"21","172","9"
"21","174","5"
"21","183","7"
"21","439","1"
"21","440","1"
"21","189","3"
"21","194","4"
"21","451","2"
"21","197","3"
"21","455","1"
"21","200","10"
"21","458","4"
"21","206","1"
"21","210","1"
"21","467","1"
"21","215","1"
"21","471","8"
"21","217","4"
"21","220","2"
"21","232","1"
"21","489","1"
"21","234","1"
"21","490","3"
"21","235","3"
"21","491","4"
"21","495","2"
"21","242","2"
"21","500","5"
"21","501","1"
"21","246","1"
"21","502","1"
"21","250","4"
"21","506","2"
"21","507","1"
"22","458","1"
"23","217","1"
"24","0","1"
"24","515","2"
"24","516","2"
"24","5","10"
"24","264","1"
"24","522","2"
"24","16","1"
"24","20","1"
"24","23","1"
"24","24","2"
"24","280","4"
"24","281","3"
"24","27","1"
"24","283","2"
"24","285","14"
"24","30","1"
"24","542","1"
"24","31","2"
"24","288","1"
"24","293","3"
"24","295","2"
"24","556","1"
"24","559","2"
"24","305","2"
"24","564","1"
"24","565","1"
"24","54","4"
"24","310","1"
"24","312","2"
"24","59","4"
"24","571","2"
"24","318","4"
"24","64","1"
"24","578","2"
"24","67","1"
"24","69","4"
"24","72","1"
"24","584","2"
"24","586","1"
"24","77","5"
"24","78","1"
"24","80","1"
"24","81","1"
"24","337","1"
"24","84","1"
"24","85","1"
"24","341","1"
"24","597","6"
"24","86","1"
"24","88","1"
"24","347","2"
"24","92","1"
"24","93","1"
"24","607","1"
"24","97","2"
"24","354","8"
"24","610","1"
"24","100","1"
"24","612","1"
"24","101","1"
"24","360","1"
"24","363","7"
"24","365","2"
"24","366","7"
"24","369","2"
"24","371","2"
"24","119","1"
"24","377","2"
"24","379","1"
"24","635","1"
"24","381","1"
"24","637","2"
"24","639","1"
"24","128","1"
"24","641","1"
"24","643","1"
"24","644","2"
"24","648","2"
"24","138","8"
"24","394","1"
"24","401","1"
"24","405","1"
"24","153","1"
"24","411","1"
"24","413","3"
"24","166","3"
"24","422","1"
"24","170","1"
"24","172","7"
"24","177","1"
"24","437","1"
"24","183","1"
"24","440","1"
"24","189","2"
"24","194","5"
"24","451","1"
"24","455","1"
"24","456","1"
"24","458","4"
"24","459","3"
"24","206","1"
"24","207","2"
"24","463","2"
"24","210","1"
"24","467","1"
"24","217","3"
"24","473","1"
"24","225","1"
"24","227","1"
"24","230","1"
"24","233","2"
"24","234","3"
"24","235","1"
"24","495","1"
"24","501","1"
"24","249","1"
"24","254","1"
"24","510","1"
"25","177","1"
"26","128","1"
"26","129","1"
"26","642","2"
"26","5","3"
"26","518","1"
"26","136","1"
"26","264","1"
"26","648","1"
"26","138","2"
"26","395","2"
"26","398","1"
"26","15","16"
"26","16","1"
"26","528","1"
"26","149","2"
"26","406","1"
"26","407","2"
"26","535","1"
"26","24","6"
"26","153","1"
"26","281","4"
"26","27","1"
"26","413","2"
"26","542","3"
"26","420","2"
"26","37","1"
"26","422","4"
"26","39","1"
"26","423","1"
"26","41","1"
"26","425","1"
"26","555","1"
"26","172","1"
"26","557","1"
"26","558","1"
"26","310","1"
"26","183","1"
"26","57","2"
"26","571","4"
"26","189","2"
"26","318","7"
"26","63","2"
"26","576","1"
"26","67","1"
"26","69","1"
"26","453","2"
"26","581","1"
"26","198","1"
"26","455","1"
"26","456","1"
"26","459","1"
"26","463","1"
"26","80","1"
"26","336","1"
"26","81","1"
"26","596","1"
"26","85","2"
"26","215","7"
"26","471","7"
"26","88","1"
"26","89","3"
"26","217","2"
"26","90","1"
"26","91","1"
"26","354","3"
"26","483","1"
"26","101","1"
"26","485","1"
"26","359","1"
"26","104","1"
"26","233","1"
"26","490","1"
"26","491","1"
"26","237","1"
"26","365","2"
"26","238","1"
"26","495","2"
"26","113","1"
"26","371","1"
"26","627","1"
"26","373","1"
"26","501","1"
"26","502","5"
"26","377","1"
"26","505","1"
"26","633","1"
"26","635","1"
"26","381","1"
"26","382","1"
"26","639","1"
"27","103","2"
"28","643","1"
"28","632","1"
"29","305","1"
"30","384","2"
"30","132","1"
"30","5","2"
"30","8","1"
"30","648","8"
"30","139","1"
"30","13","1"
"30","269","1"
"30","398","1"
"30","527","3"
"30","17","1"
"30","401","2"
"30","20","3"
"30","405","1"
"30","406","1"
"30","23","1"
"30","280","2"
"30","281","2"
"30","27","1"
"30","411","1"
"30","292","1"
"30","420","4"
"30","293","1"
"30","549","2"
"30","422","3"
"30","41","1"
"30","172","1"
"30","556","1"
"30","432","2"
"30","177","1"
"30","305","1"
"30","566","4"
"30","183","1"
"30","184","1"
"30","449","1"
"30","67","1"
"30","196","1"
"30","197","2"
"30","325","2"
"30","581","2"
"30","582","1"
"30","455","1"
"30","584","1"
"30","332","1"
"30","588","1"
"30","77","1"
"30","336","2"
"30","81","1"
"30","466","1"
"30","594","1"
"30","86","2"
"30","598","1"
"30","471","2"
"30","88","2"
"30","217","2"
"30","473","3"
"30","91","2"
"30","348","1"
"30","98","1"
"30","354","2"
"30","359","1"
"30","233","1"
"30","490","1"
"30","619","1"
"30","237","2"
"30","495","2"
"30","243","1"
"30","118","1"
"30","633","2"
"30","635","1"
"30","510","1"
"31","126","1"
"32","384","1"
"32","1","5"
"32","129","1"
"32","257","1"
"32","5","2"
"32","261","1"
"32","389","1"
"32","6","1"
"32","391","1"
"32","8","2"
"32","648","1"
"32","393","1"
"32","139","1"
"32","269","1"
"32","398","1"
"32","274","3"
"32","20","1"
"32","404","1"
"32","149","2"
"32","405","1"
"32","406","1"
"32","24","1"
"32","282","1"
"32","27","1"
"32","411","1"
"32","30","1"
"32","33","1"
"32","294","2"
"32","422","4"
"32","423","2"
