dId,len,elen,url
"0","109","9","27037803"
"1","215","33","27083247"
"2","117","22","27067309"
"3","70","0","27062253"
"4","9","1","27117697"
"5","82","20","27118996"
"6","124","22","27003418"
"7","9","4","27006330"
"8","126","0","27005690"
"9","2","0","27002650"
"10","156","9","27095971"
"11","105","31","27019979"
"12","124","21","27020244"
"13","74","8","27000951"
"14","116","18","27008368"
"15","124","20","27030512"
"16","126","9","27025815"
"17","168","5","27029956"
"18","123","14","27071189"
"19","163","23","27008524"
"20","191","9","27079697"
"21","77","10","27076250"
"22","132","1","27080376"
"23","140","28","27086975"
"24","210","11","27067168"
"25","165","15","27038190"
"26","42","11","27010104"
"27","45","14","27101546"
"28","179","11","27062301"
"29","139","21","27037936"
"30","149","10","27053136"
"31","43","9","27028539"
"32","5","0","27105223"
"33","141","12","27043927"
"34","122","1","27058544"
"35","1","0","27164992"
"36","111","1","27014948"
"37","173","7","27112415"
"38","17","2","27112037"
"39","230","27","27111487"
"40","40","1","27015488"
"41","171","7","27015336"
"42","106","19","27013844"
"43","91","9","27111397"
"44","161","6","27087698"
"45","160","31","27015549"
"46","160","1","27014477"
"47","108","14","27056656"
"48","219","36","27073179"
"49","50","6","27014921"
"50","120","2","27011811"
"51","4","2","27051771"
"52","8","0","27036859"
"53","96","0","27045194"
"54","99","3","27077079"
"55","146","12","27027241"
"56","42","5","27079849"
"57","103","10","27077568"
"58","5","0","27041132"
"59","103","11","27039895"
"60","16","0","27084078"
"61","8","0","27014365"
"62","134","0","27014083"
"63","232","24","27065706"
"64","11","2","27005265"
"65","167","26","27093470"
"66","128","15","27013076"
"67","169","3","27003266"
"68","146","8","27005614"
"69","176","19","27052743"
"70","180","18","27049663"
"71","126","23","27082228"
"72","135","9","27045727"
"73","156","12","27075942"
"74","95","0","27051425"
"75","102","3","27076861"
"76","123","33","27037022"
"77","107","27","27077460"
"78","169","12","27041544"
"79","8","0","27005448"
"80","180","10","27076213"
"81","182","13","27003321"
"82","129","1","27081664"
"83","74","9","27075114"
"84","66","0","27103894"
"85","190","1","27055037"
"86","112","20","27051389"
"87","97","13","27100483"
"88","190","8","27006343"
"89","148","31","27096629"
"90","197","6","27042950"
"91","167","16","27111023"
"92","163","2","27111011"
"93","160","6","27111004"
"94","118","8","27009807"
"95","62","14","27110913"
"96","111","1","27015741"
"97","115","1","27005396"
"98","117","21","27057191"
"99","135","1","27065477"
"100","114","6","27087935"
"101","174","15","27012785"
"102","118","3","27013256"
"103","167","16","27012625"
"104","196","23","27015005"
"105","120","1","27069649"
"106","6","0","27002874"
"107","127","6","27003801"
"108","112","21","27076848"
"109","7","1","27008553"
"110","137","7","27008682"
"111","115","15","27002326"
"112","178","26","27099330"
"113","11","0","27101919"
"114","69","0","27104711"
"115","92","11","27019312"
"116","7","0","27098000"
"117","58","7","27103980"
"118","97","13","27006413"
"119","218","46","27000083"
"120","163","6","27006046"
"121","171","12","27114104"
"122","86","9","27008708"
"123","139","9","27118718"
"124","152","12","27008088"
"125","145","17","27114962"
"126","122","8","27110811"
"127","90","6","27110603"
"128","92","8","27110562"
"129","168","22","27110374"
"130","77","11","27164945"
"131","136","22","27107312"
"132","146","23","27084261"
"133","109","26","27076087"
"134","196","9","27027499"
"135","122","5","27028731"
"136","57","23","27081571"
"137","9","1","27024581"
"138","169","21","27042272"
"139","116","21","27051450"
"140","64","6","27022388"
"141","175","2","27025568"
"142","3","0","27033481"
"143","97","0","27105325"
"144","72","2","27067236"
"145","62","1","27054154"
"146","122","6","27157752"
"147","7","0","27158298"
"148","102","15","27075261"
"149","258","53","27165126"
"150","103","32","27051544"
"151","8","1","27039158"
"152","170","15","27093686"
"153","172","1","27085396"
"154","111","23","27045536"
"155","185","9","27028128"
"156","121","5","27079461"
"157","143","23","27109747"
"158","76","12","27109068"
"159","158","24","27108660"
"160","6","1","27108458"
"161","160","20","27016446"
"162","129","0","27141148"
"163","188","9","27148338"
"164","157","13","27167557"
"165","95","28","27166432"
"166","156","35","27129233"
"167","4","1","27126844"
"168","125","2","27047316"
"169","4","1","27061675"
"170","124","12","27029776"
"171","174","11","27010569"
"172","189","44","27010902"
"173","189","14","27107962"
"174","103","27","27107075"
"175","107","21","27106742"
"176","139","36","27106740"
"177","166","11","27042428"
