kId,dIds,tfs
"0","{0}","{1}"
"1","{0,90,298,576}","{1,2,1,6}"
"2","{0}","{1}"
"3","{0,46}","{1,1}"
"4","{0,224,282,289}","{1,1,1,1}"
"5","{0,18,55,74,178,179,218,240,334,367,497,520,577,622,631,644}","{1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1}"
"6","{0,99,115,244,432,602,614}","{1,1,1,1,3,1,1}"
"7","{0,1,41,44,63,81,93,125,164,190,206,214,219,233,238,252,297,387,455,541,544,550,551,612,628}","{1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1}"
"8","{0,6,29,41,57,111,120,122,141,157,166,187,188,199,232,234,280,290,296,305,347,352,364,374,402,451,468,471,524,528,540,548,559,561,576,578,582,626,639,644,650}","{1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1}"
"9","{0,91,237,421,465,506,593}","{1,1,1,1,1,1,1}"
"10","{0}","{1}"
"11","{0,18,28,43,53,70,73,99,122,132,248,271,297,321,337,340,364,416,431,496,505,541,570}","{1,1,2,1,1,1,2,1,3,1,1,1,2,2,1,1,2,1,1,1,1,1,1}"
"12","{0}","{1}"
"13","{0}","{1}"
"14","{0,1,22,37,41,42,49,50,55,62,73,80,97,121,122,130,148,168,170,181,187,195,212,224,231,233,280,292,298,317,335,339,378,398,405,409,429,439,468,499,508,524,525,532,547,552,557,565,567,570,585,595,599,602,615,628,631,634,650}","{1,1,1,1,2,1,1,2,2,2,1,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,3,1,2,2,2,2,1,2,1,2,1,1,1,2,1,1,1,5,1,3,2,2,4,1,2,1,3,1,1,1,1,1}"
"15","{0,21,63,74,104,115,130,136,140,149,181,231,276,364,384,405,410,436,437,513,616,645}","{3,1,2,5,1,1,1,1,1,2,3,1,1,2,1,1,2,1,1,1,1,2}"
"16","{0,13,14,15,16,20,21,28,42,43,68,76,97,99,101,112,130,146,150,159,161,164,173,174,200,213,215,228,237,260,262,264,303,304,305,357,366,370,376,408,413,421,434,439,453,460,464,496,500,510,518,520,521,529,543,546,569,574,581,597,598,605,611,618,646}","{1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1}"
"17","{0,158,187,291,318,363,405,517,540,594,608,642}","{1,6,5,4,1,2,1,1,2,5,1,1}"
"18","{0,21,42,57,60,74,78,98,112,115,125,130,149,150,151,168,180,181,187,231,233,239,243,258,288,296,320,337,372,378,382,404,431,437,451,457,464,481,489,518,520,529,551,567,580,616,619,620,623,637,645}","{1,1,1,1,2,1,1,1,1,2,2,3,1,1,1,1,1,3,1,2,1,2,4,1,1,3,1,4,1,2,2,1,4,2,4,2,3,1,3,1,1,1,1,2,2,1,1,3,2,3,2}"
"19","{0}","{1}"
"20","{0,1,16,78,461,483,502,518}","{1,3,2,4,1,3,5,2}"
"21","{0,18,20,34,44,50,62,71,73,83,93,128,134,139,141,145,149,162,165,171,187,189,190,195,198,202,205,210,260,266,295,298,330,338,346,359,375,385,391,393,405,422,424,427,436,437,444,456,495,498,511,527,534,535,540,547,548,553,557,558,563,577,592,595,596,600,620,622,646,649}","{1,2,1,5,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,2,1}"
"22","{0,1,3,6,18,29,30,45,62,66,68,71,75,83,85,87,97,107,108,111,120,124,148,149,161,176,189,193,195,212,217,224,258,261,262,292,307,308,318,320,325,330,339,350,355,358,362,371,394,400,405,412,415,421,427,440,444,451,456,474,488,491,495,498,510,520,534,537,548,569,597,599,605,612,621,622,628,634,645,650}","{1,1,3,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,3,1,1,1,1,2,4,1,1,1,2,1,2,1,2,1,1,2,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,3,3,1,3,3,1,1,2,2,1,1}"
"23","{0,43,195,305,311,439,476}","{1,1,1,2,1,1,1}"
"24","{0}","{1}"
"25","{0,175,209,230,271,339,406,432,458,523,528,614}","{1,2,1,1,1,1,2,1,1,1,1,1}"
"26","{0,102,376,400,426,570,602,614}","{1,5,4,1,7,1,1,6}"
"27","{0,551,642}","{1,1,2}"
"28","{0,29,30,42,72,73,74,112,122,130,134,150,155,157,193,205,234,246,259,316,322,364,382,404,405,406,464,499,508,513,523,539,570,576,615,626,645}","{1,3,1,2,1,3,1,1,2,1,1,3,1,2,1,1,3,1,3,1,2,1,1,1,1,1,1,1,1,5,1,2,1,3,1,1,2}"
"29","{0}","{1}"
"30","{0,1,115,136,199,276,283,570}","{1,1,2,2,2,2,1,2}"
"31","{0}","{1}"
"32","{0}","{1}"
"33","{0,25,80,107,181,192,194,231,233,301,330,358,359,361,398,417,449,529,547,550,590,622,641}","{1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1}"
"34","{0,642}","{1,1}"
"35","{0,16,19,24,27,30,43,54,59,67,69,78,80,81,85,88,91,128,129,133,136,139,145,146,149,153,159,162,166,172,174,183,189,194,197,206,210,215,217,220,232,234,235,250,257,258,276,281,288,293,294,305,317,326,336,347,354,355,358,363,371,377,381,384,394,396,400,401,405,406,413,422,451,455,489,495,501,502,507,535,540,551,555,556,566,578,584,588,598,610,612,629,639}","{1,1,4,1,1,1,1,1,2,1,7,1,2,1,2,1,1,1,9,1,2,1,1,1,1,1,2,1,1,2,2,4,3,2,2,1,1,1,4,2,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,5,3,1,1,1,1,1,1,2,3,2,4,5,1,1,1,2,1,1,1,1,2,1,1,1,4,2,1,1,1,1,1,1,1}"
"36","{0,16,20,23,24,27,30,59,67,69,78,80,81,84,85,88,92,93,97,100,119,128,138,153,166,172,183,189,194,206,210,217,230,234,235,249,254,264,280,288,293,305,310,312,341,347,354,363,366,369,371,377,379,381,394,405,411,413,422,437,455,456,459,463,495,501,510,522,542,556,559,564,565,578,584,610,612,639,641,644,648}","{1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,1,1,1,8,1,2,2,1,2,2,1,1,3,1,3,1,1,1,1,2,1,2,2,1,1,1,2,8,7,7,1,2,2,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2}"
"37","{0,24,180,240,338}","{1,1,1,1,1}"
"38","{0,18,24,30,37,39,41,43,47,53,55,57,62,69,70,73,74,82,85,87,90,91,92,108,122,127,128,131,132,139,143,146,152,155,157,159,173,178,183,187,189,198,202,210,217,221,234,237,238,248,259,261,262,264,269,271,282,293,312,315,317,318,320,332,335,344,348,359,362,363,364,376,378,379,387,395,398,399,404,405,406,407,408,411,422,423,436,437,478,502,508,513,517,522,524,539,540,541,544,568,585,587,590,595,596,601,602,608,611,622,629,641,644,646,650}","{1,1,1,1,2,1,1,1,2,1,2,2,2,2,1,2,3,1,2,1,3,1,2,1,3,3,1,1,1,1,1,1,1,4,3,1,1,1,1,2,1,3,1,1,1,1,2,1,4,1,2,1,1,1,2,2,1,1,1,1,10,1,2,4,2,1,1,1,1,2,2,7,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,3,1,1,1,1,3,2,3,2,1,1,1,1,3,3,1,1,1,3,1,2,1,1,1,4,2}"
"39","{0,90,107,210,235,250,466,540,551}","{1,1,1,1,2,2,2,1,1}"
"40","{0}","{1}"
"41","{0,235,466}","{1,9,1}"
"42","{0,513}","{1,1}"
"43","{0,243,370,563,575}","{1,1,1,1,1}"
"44","{0,40,626}","{1,2,2}"
"45","{0,374,389,541}","{1,6,4,2}"
"46","{0,583,585}","{5,1,5}"
"47","{0,8,17,24,39,44,71,91,92,101,112,119,229,234,238,249,294,303,322,354,363,387,408,440,502,515,522,559,566,569,581,602}","{1,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,2,1,1,1}"
"48","{0}","{1}"
"49","{0,17,57,115,209,232,318,566}","{1,1,2,1,1,1,1,1}"
